case_identifier,pp_primary16_2016,pp_demprim16_2016,pp_repprim16_2016,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,race_other_baseline,educ_baseline,child18_baseline,child18num_baseline,job_baseline,employstat2_baseline,industry_baseline,occupationcat_baseline,presvote16post_2016
34733699,1,1,,26,48221,1942,2,1,,3,2,,,2,44,3,1
34738568,1,1,,12,33983,1932,2,1,,2,2,,,5,,8,1
34755932,2,,4,26,48105,1944,1,1,,5,2,,,5,,1,2
34759127,1,2,,31,68154,1964,2,1,,5,1,1,,1,51,1,1
34768718,1,2,,36,11937,1958,1,1,,6,2,,,2,61,3,1
34769537,2,,5,48,78619,1960,1,1,,6,2,,,1,54,1,1
34769867,1,1,,18,47150,1946,1,1,,5,2,,,3,52,5,1
34773284,3,,,4,85019,1975,2,1,,,2,,,8,,,2
34779641,3,,,45,29511,1960,1,1,,1,2,,,6,,,7
34784369,1,3,,6,95660,1948,1,1,,3,2,,,5,,1,2
34791773,3,,,6,93010,1963,1,1,,4,2,,,3,52,5,2
34792130,1,2,,41,97504,1957,1,1,,6,2,,,1,61,1,1
34800950,1,1,,34,8009,1969,2,1,,2,1,1,,7,,9,1
34827824,1,2,,21,40065,1964,2,1,,6,2,,,1,31,1,1
34829900,1,2,,12,34287,1966,2,1,,6,2,,,3,61,5,1
34841237,2,,1,41,97239,1931,1,1,,2,2,,,5,,3,2
34846070,2,,3,37,27607,1966,1,1,,6,1,2,,1,21,3,2
34849913,1,2,,36,11235,1948,2,1,,2,2,,,7,,9,1
34850291,2,,1,6,95765,1954,1,1,,3,2,,,5,,8,2
34850507,1,2,,48,75071,1948,2,1,,6,2,,,5,,8,1
34852097,3,,,22,70665,1937,1,1,,2,2,,,5,,8,1
34854245,1,1,,12,33511,1968,1,1,,3,2,,,6,,11,1
34869224,1,2,,6,92116,1967,2,1,,5,2,,,1,92,12,1
34872815,3,,,20,66030,1964,1,1,,5,1,1,,3,72,5,4
34873910,1,2,,26,48025,1959,1,1,,6,2,,,1,71,3,2
34878503,1,2,,8,80138,1947,1,1,,6,2,,,5,,3,1
34881128,2,,4,26,48033,1949,1,1,,6,2,,,3,71,12,2
34881320,3,,,6,93212,1975,1,2,,6,2,,3,,,10,2
34894634,1,3,,6,95494,1943,1,1,,5,2,,,5,,8,1
34895741,2,,1,12,33860,1933,1,1,,2,2,,,5,,1,2
34902812,1,2,,16,83607,1967,2,1,,4,2,,,1,62,12,1
34905833,1,4,,8,80301,1953,1,1,,3,2,,,1,42,4,1
34908395,3,,,39,44882,1989,2,1,,4,2,,2,,,10,1
34926884,2,,1,12,33165,1946,1,3,,2,2,,,5,,8,2
34926887,1,2,,8,80004,1973,2,3,,4,1,1,1,,,12,1
34934411,1,1,,41,97123,1963,2,1,,5,2,,,2,92,6,1
34937006,1,2,,42,15690,1961,2,1,,5,2,,,3,44,5,1
34938773,2,,1,4,85282,1954,2,1,,4,2,,,6,,9,2
34940402,1,2,,6,95492,1969,2,1,,5,1,2,,1,51,1,1
34943474,1,2,,25,2155,1984,2,1,,5,,,,1,61,6,1
34944056,2,,2,42,15144,1951,1,1,,2,2,,,5,,8,2
34950506,2,,3,37,28544,1970,1,7,American,3,2,,,1,92,1,2
34952081,2,,1,28,39503,1962,1,1,,5,2,,,3,71,1,2
34955078,1,2,,1,36535,1976,1,1,,3,2,,,4,,11,3
34955963,1,2,,26,48809,1959,1,1,,2,2,,,3,31,1,1
34965122,3,,,12,33082,1968,1,6,,5,1,1,,1,54,2,2
34970000,1,2,,53,98117,1980,1,1,,5,2,,,1,51,1,1
34974617,2,,1,32,89436,1974,1,7,Italian - Jewish (White people have the right to a hyphen too!),3,2,,,4,,1,2
34978772,1,1,,39,44118,1939,2,1,,3,2,,,5,,8,1
34985519,2,,1,53,98004,1965,2,1,__NA__,3,1,1,,2,81,9,2
34986740,1,2,,39,44142,1952,1,1,,2,2,,,5,,8,2
34993793,1,1,,36,12203,1946,1,1,,6,2,,,1,81,1,1
35002505,2,,1,13,30233,1949,1,1,,2,2,,,1,48,1,2
35004683,1,1,,42,16504,1968,1,1,,3,2,,,1,44,6,1
35006933,2,,1,39,44133,1945,1,7,Italian American,3,2,,2,,,1,2
35012111,2,,3,5,72687,1939,1,1,,5,2,,,5,,8,2
35036366,2,,3,24,20755,1972,1,1,,3,1,4,,1,92,7,2
35037080,2,,1,12,33707,1940,1,1,,2,2,,,5,,11,2
35039048,3,,,53,98382,1941,1,1,,3,2,,,5,,7,2
35052497,3,,,5,72472,1985,2,1,,3,1,1,,7,,9,
35064143,3,,,49,84020,1951,1,1,,5,2,,,6,,8,2
35071676,2,,6,16,83501,1929,1,1,,3,2,,,5,,8,1
35075282,1,2,,42,15068,1950,1,1,,3,2,,,5,,8,1
35081351,2,,3,6,90720,1962,1,1,,5,1,4,,1,51,1,2
35085050,1,1,,6,90034,1966,2,1,,6,2,,,1,61,2,1
35087636,1,1,,53,98032,1957,2,1,,3,2,,,1,81,1,1
35088755,1,2,,6,94801,1958,1,1,,1,2,,,7,,5,1
35096867,1,2,,12,32905,1954,1,1,,2,2,,,1,81,2,1
35097362,1,2,,50,5033,1952,2,1,,5,2,,,5,,12,1
35102597,2,,3,32,89451,1945,1,1,,5,2,,,5,,1,2
35104334,2,,2,39,43231,1968,2,1,,3,1,1,,1,92,6,2
35109884,1,2,,6,92284,1978,2,1,,4,1,2,2,,,10,1
35116889,2,,1,4,86442,1933,1,1,,1,2,,,5,,1,2
35122343,2,,4,51,20190,1981,1,1,,5,2,,,1,92,1,2
35138759,1,1,,6,92253,1949,1,1,,5,2,,,1,52,2,1
35143655,1,2,,48,77004,1950,1,2,,5,2,,,1,62,1,1
35148494,1,1,,29,63104,1965,2,1,,5,2,,,1,52,12,1
35152622,3,,,27,55057,1965,1,1,,5,1,2,,1,31,3,3
35152700,1,2,,6,95423,1966,1,1,,3,2,,,5,,8,1
35154734,1,1,,36,13833,1955,2,1,,5,2,,,5,,8,1
35156006,3,,,42,16748,1954,1,1,,5,2,,,2,54,1,1
35156474,2,,1,55,54724,1984,2,1,,3,1,1,,7,,9,2
35167010,2,,1,42,17363,1968,1,1,,5,1,3,,1,71,3,2
35167853,2,,2,28,39562,1955,1,1,,5,2,,,1,54,1,2
35179595,1,2,,26,48371,1948,1,1,,3,2,,,1,92,6,1
35188880,3,,,48,78023,1951,1,3,,6,2,,,1,61,2,1
35190443,1,2,,21,42303,1949,1,1,,3,1,1,,6,,12,2
35196938,1,2,,39,45219,1964,1,1,,5,2,,,1,62,1,1
35204483,1,2,,49,84108,1958,1,1,,3,1,2,,8,,2,1
35208224,1,2,,36,11215,1955,1,1,,6,2,,,1,54,4,1
35209586,3,,,2,99654,1990,2,1,,3,2,,3,,,9,1
35210276,3,,,17,60656,1960,2,1,,4,1,1,,1,54,6,1
35211428,1,1,,26,48138,1934,1,1,,6,2,,,5,,8,1
35213798,1,1,,53,98502,1947,2,1,,5,2,,,3,61,1,1
35217332,1,2,,45,29102,1948,1,2,,2,2,,,6,,12,1
35217431,1,1,,36,14623,1947,1,1,,6,2,,,1,44,1,1
35219120,1,2,,21,40223,1943,1,1,__NA__,2,2,,,5,,8,2
35224337,3,,,37,28352,1949,1,1,,5,2,,,5,,5,1
35226317,3,,,53,98548,1938,2,1,,3,2,,,5,,8,
35232977,1,2,,24,21201,1958,1,1,,5,2,,3,,,10,1
35233061,3,,,12,34759,1954,1,1,,6,2,,,1,23,1,2
35233550,1,1,,13,30296,1951,1,2,,5,2,,,5,,8,1
35234972,1,2,,48,79924,1957,1,3,,4,2,,,1,61,3,1
35236535,3,,,37,27545,1962,2,1,,5,2,,,1,62,3,1
35239388,1,2,,6,94303,1947,2,6,,3,2,,,5,,8,1
35239703,3,,,6,93636,1967,2,1,,3,2,,,1,54,6,1
35241545,1,2,,42,16142,1983,1,6,,5,2,,,1,72,1,4
35242034,1,1,,6,92150,1960,1,1,,6,1,1,,4,,1,1
35242847,3,,,34,7660,1955,1,1,,6,2,,1,,52,5,1
35243291,3,,,5,72116,1946,1,1,,3,2,,,5,,8,1
35243615,2,,1,4,85022,1933,2,1,,3,2,,,5,,4,1
35249525,3,,,17,60016,1957,1,1,,4,2,,,1,62,1,2
35259071,3,,,20,66207,1944,2,1,,6,2,,,5,,11,1
35263865,1,1,,12,32501,1935,2,1,,6,2,,,,,1,1
35264291,1,1,,36,12054,1979,1,1,,6,1,2,,1,61,1,1
35264306,1,1,,12,32225,1960,2,1,,3,2,,3,,,11,1
35264318,1,1,,6,94043,1964,1,1,,5,1,3,,1,21,1,1
35266643,1,1,,6,92234,1947,1,1,,6,2,,,1,61,3,1
35267135,3,,,6,91351,1951,1,1,,3,2,,,1,51,12,1
35270069,1,2,,27,55105,1940,2,1,,5,2,,,2,62,1,1
35270942,2,,2,1,36511,1949,2,1,,5,2,,,5,,8,2
35272223,1,1,,30,59870,1946,1,1,,6,2,,,5,,8,1
35274293,1,2,,6,92688,1964,2,1,,6,2,,,3,52,5,1
35274821,2,,1,17,60148,1953,1,1,,4,2,,,1,62,1,2
35277731,3,,,27,56073,1963,1,1,,3,1,5,,1,31,12,2
35281238,2,,3,41,97411,1966,2,1,,2,2,,,2,61,12,2
35281505,2,,4,54,26201,1948,1,1,,6,2,,,2,92,2,2
35284856,1,2,,54,26501,1948,1,1,,3,2,,,6,,8,1
35286497,1,1,,55,53562,1983,2,1,,5,2,,,3,71,5,1
35295647,1,2,,46,57006,1968,2,1,,5,2,,1,,61,6,1
35305439,1,1,,51,22191,1960,2,1,,4,2,,,3,71,1,1
35316896,1,1,,17,60189,1959,2,1,,6,2,,,1,44,2,1
35319539,2,,3,48,75152,1963,1,1,,5,1,5,,1,51,1,2
35321165,2,,3,4,85212,1953,1,3,,3,2,,,1,81,3,2
35328560,3,,,54,24963,1958,2,1,,2,2,,,7,,9,4
35328884,2,,1,6,92123,1951,1,2,,4,2,,,5,,8,2
35330321,1,1,,12,33760,1945,2,1,,6,2,,,2,61,1,1
35331422,3,,,44,50312,1945,1,2,,5,2,,,1,92,2,1
35331926,2,,2,36,14845,1942,2,1,,6,2,,,5,,1,1
35334404,2,,5,13,30317,1948,2,1,,6,2,,,2,81,12,2
35335343,3,,,34,8332,1947,1,1,,5,2,,,1,61,1,2
35337053,2,,3,6,95620,1940,1,1,,6,2,,,5,,8,2
35344352,1,1,,26,49931,1948,2,1,,5,2,,,5,,8,1
35345324,3,,,36,12518,1968,1,1,,5,2,,,1,44,4,1
35345459,2,,3,48,78028,1950,1,1,,5,2,,,5,,8,2
35347277,3,,,8,80128,1942,1,1,,3,2,,,5,,8,2
35352413,1,2,,13,30096,1948,1,1,,4,2,,,4,,2,1
35353808,1,1,,6,94612,1982,1,4,,5,2,,,1,54,1,1
35353910,2,,3,13,30067,1968,1,1,,5,2,,,1,44,6,3
35357981,3,,,29,65747,1958,1,1,,3,2,,,1,31,1,2
35377223,2,,1,24,20736,1954,1,1,,6,1,2,,1,62,1,2
35381294,2,,1,12,32962,1931,2,1,,2,2,,,5,,8,2
35382752,1,1,,41,97035,1954,2,1,,3,2,,,5,,6,1
35383316,3,,,48,63303,1957,1,1,,6,2,,,1,52,1,
35383367,2,,1,6,93730,1943,1,1,,5,2,,,1,42,4,2
35384270,1,1,,51,24210,1948,2,1,,3,2,,,5,,8,1
35384873,1,1,,12,34476,1940,1,1,,2,2,,,5,,8,1
35385512,2,,1,12,33162,1931,1,1,,1,2,,,5,,8,2
35386394,2,,1,4,85635,1975,1,1,,5,1,3,,1,54,1,2
35386661,3,,,53,98466,1965,1,7,American,4,2,,,6,,8,2
35387270,3,,,12,32909,1983,2,1,,2,2,,,4,,11,2
35405162,1,2,,34,7410,1972,2,1,,6,1,2,,1,61,1,1
35411171,2,,3,16,83543,1954,1,1,,3,2,,,1,11,1,2
35429972,1,1,,39,44333,1961,2,1,,6,1,2,,8,,12,1
35437805,1,1,,18,46012,1953,1,1,,3,2,,,1,92,6,1
35459156,3,,,21,40291,1945,2,1,,6,2,,,4,,1,2
35476346,1,2,,42,15220,1976,1,1,,3,2,,,1,52,6,1
35476370,2,,2,39,44685,1964,1,1,,3,2,,,1,31,2,2
35487071,2,,1,13,30607,1954,1,1,,1,2,,,6,,12,2
35520332,3,,,37,27282,1966,1,1,,5,1,2,,1,31,1,2
35544086,1,1,,29,63090,1957,1,1,,2,2,,,1,23,12,1
35547881,2,,3,47,37330,1942,1,1,,6,2,,,5,,7,2
35575643,1,1,,6,93531,1950,2,3,,6,2,,,2,61,2,1
35610071,2,,5,29,64831,1957,1,1,,1,2,,,1,71,12,2
35642693,2,,1,47,37066,1932,2,1,,3,2,,,5,,8,2
35646098,3,,,48,75904,1956,2,1,,4,2,,,4,,3,
35648582,2,,1,17,61820,1972,1,1,,5,2,,,1,81,1,2
35649449,3,,,36,10012,1965,1,1,,5,2,,,1,52,2,1
35659550,2,,3,4,85023,1950,1,1,,2,2,,,3,42,5,2
35665898,2,,3,19,52057,1960,1,1,,2,2,,,4,,12,2
35666387,1,1,,13,30338,1956,1,1,,2,2,,,1,51,5,1
35666531,3,,,35,87106,1973,1,3,,4,1,2,,8,,7,2
35670755,1,1,,12,33498,1946,2,1,,6,2,,,1,61,1,1
35702906,2,,3,51,22407,1970,1,,,5,2,,,1,48,1,2
35703899,1,1,,6,95051,1937,1,1,,6,2,,,5,,8,1
35725178,1,2,,25,2720,1969,1,1,,2,2,,,1,81,12,1
35753063,2,,2,25,2184,1963,1,1,,5,2,,,1,52,1,1
35755769,2,,3,42,19103,1963,1,1,,6,2,,,1,92,3,2
35787110,3,,,55,54501,1970,1,3,,2,1,2,,1,72,12,3
35834339,1,2,,36,14826,1942,1,1,,2,2,,,5,,8,4
35850218,1,1,,25,2148,1954,2,1,,5,2,,,3,81,1,1
35868356,1,2,,36,13323,1990,2,1,,3,,,3,,,10,1
35885039,1,1,,51,20148,1977,2,2,,4,1,2,3,,,9,1
35885273,2,,2,51,20137,1957,2,2,,6,2,,,1,51,3,1
35907002,1,1,,12,33785,1972,2,1,,4,2,,,1,54,4,1
35914550,2,,3,47,38357,1945,2,1,,5,2,,,5,,8,2
35921117,3,,,20,67220,1948,2,1,,5,2,,,1,92,6,6
35930465,1,1,,11,20019,1943,2,2,,3,2,,,5,,8,1
35937290,2,,1,4,86409,1955,2,1,,3,2,,,1,62,1,2
35941055,2,,1,6,92335,1947,2,7,American/ Mexican,2,2,,,5,,8,2
35949758,2,,1,12,33426,1946,1,1,,2,2,,,5,,3,2
35963261,2,,1,48,75901,1944,2,1,,2,2,,,5,,8,2
36009737,1,2,,6,95020,1954,1,1,,3,2,,,4,,11,1
36014588,1,1,,6,95823,1955,1,2,,5,2,,,4,,12,1
36034901,1,1,,13,31907,1964,2,2,,3,2,,,6,,9,1
36034916,1,1,,13,30078,1954,2,2,,3,2,,,6,,12,1
36036206,1,2,,42,15120,1955,2,1,,3,2,,,1,92,6,1
36055727,3,,,20,67045,1979,2,1,,2,1,3,,7,,9,3
36056621,1,1,,42,15905,1957,1,1,,3,2,,,1,92,7,1
36069833,2,,3,29,65619,1940,2,1,,5,2,,,5,,8,1
36080588,3,,,48,75068,1972,1,2,,5,1,2,,1,72,3,1
36097664,1,1,,17,60304,1942,1,1,,5,2,,,5,,1,1
36098867,2,,5,48,78613,1960,1,1,,6,2,,,1,61,4,2
36129047,2,,2,21,40207,1991,1,1,,3,2,,2,,,10,2
36146504,1,2,,6,95006,1954,2,1,,3,2,,,5,,11,1
36160979,4,,,29,63114,1957,2,1,,5,2,,,1,81,6,1
36161615,2,,1,17,60056,1940,1,1,,2,2,,,5,,5,2
36166847,1,2,,29,64050,1964,1,6,,3,2,,,1,62,1,1
36172832,1,1,,8,80134,1956,1,1,,5,2,,,3,54,5,1
36173828,3,,,20,66604,1940,2,1,,6,2,,,5,,8,2
36196076,1,1,,17,61115,1953,1,1,,3,2,,,5,,8,1
36199574,1,2,,29,63301,1955,1,1,,5,2,,,1,54,1,2
36241895,2,,4,51,20147,1969,1,1,,5,2,,,4,,3,3
36247484,1,2,,18,47401,1943,1,1,,2,2,,,5,,8,1
36249275,1,2,,12,33309,1942,1,1,,5,2,,,5,,2,1
36285707,1,1,,48,79762,1968,1,1,,5,1,2,,1,92,3,1
36286784,3,,,19,50263,1966,2,1,,5,2,,,1,52,1,
36295043,1,1,,48,77088,1938,2,1,,4,2,,,5,,8,1
36302312,1,1,,18,46368,1949,2,1,,5,,,,7,,9,1
36308498,3,,,51,22201,1988,2,1,,6,2,,2,,,10,1
36314504,1,2,,17,60053,1936,2,1,,2,2,,,5,,8,1
36318695,1,1,,39,44270,1954,2,1,,2,2,,,6,,11,1
36328994,2,,1,37,28166,1948,1,1,,3,2,,,5,,3,2
36345209,4,,,12,33991,1943,2,1,,3,2,,,5,,8,1
36363446,3,,,56,82001,1973,2,1,,3,1,4,,6,,11,1
36389609,1,1,,1,35213,1941,1,1,,6,2,,,5,,8,1
36399491,2,,4,51,22032,1955,1,6,,6,1,2,,4,,1,3
36407837,3,,,24,20895,1967,1,1,,6,1,2,1,,92,7,6
36414305,1,1,,24,21017,1963,2,1,,5,2,,,3,52,4,1
36414890,1,2,,42,15201,1942,1,1,,2,2,,,5,,8,1
36415655,3,,,40,73507,1956,2,1,,2,2,,,7,,9,
36416318,2,,2,56,83001,1940,2,1,,6,2,,,5,,8,3
36416720,3,,,9,6114,1977,2,3,,6,2,,,1,54,2,4
36417818,1,1,,12,32822,1948,2,1,,2,2,,,5,,8,1
36417950,2,,2,36,14067,1953,2,1,,2,2,,,7,,9,2
36420023,2,,3,44,2864,1964,2,1,,4,2,,,1,48,6,2
36420098,1,1,,53,98367,1948,2,1,,2,2,,,6,,9,1
36420833,1,1,,47,37215,1953,2,1,,2,2,,,3,72,2,1
36421532,3,,,32,89107,1940,2,7,jewish,3,2,,,4,,11,1
36421781,2,,2,39,45231,1965,2,1,,2,2,,,1,71,2,3
36422171,1,1,,54,25526,1938,1,1,,5,2,,,5,,6,1
36422849,1,2,,54,25702,1964,2,1,,2,2,,,1,48,6,2
36422924,2,,2,16,83835,1965,2,1,,5,2,,,1,54,1,5
36422954,2,,1,46,57783,1930,2,1,,3,2,,,5,,12,2
36423239,2,,1,4,85051,1963,2,3,,6,1,2,,7,,9,2
36423383,1,3,,24,20904,1955,2,1,,5,2,,,1,51,6,2
36424064,1,1,,42,18354,1942,1,1,,2,2,,,5,,8,2
36424478,2,,3,29,63072,1944,2,1,,2,2,,,5,,8,2
36426074,1,2,,16,83616,1970,2,1,,3,2,,,3,44,5,4
36426161,2,,1,54,24740,1955,2,1,,5,2,,,6,,11,
36427103,1,1,,6,94945,1953,2,2,,3,2,,,1,23,12,1
36427181,1,2,,54,25303,1974,2,1,,5,2,,,1,81,4,1
36427880,2,,2,20,66086,1953,1,1,,6,1,1,,1,61,1,2
36428408,2,,2,21,42718,1957,2,1,,2,2,,,1,44,4,2
36429503,3,,,49,84003,1971,2,1,,4,1,,,1,62,6,3
36429545,2,,3,48,78626,1957,1,3,,5,1,2,,1,54,2,1
36429734,2,,4,45,29607,1958,2,1,,4,1,1,,7,,9,2
36429776,3,,,19,52003,1974,2,1,,1,2,,,6,,9,1
36431573,2,,1,18,46322,1950,2,1,,3,2,,,1,52,12,2
36432257,1,2,,42,15146,1950,2,1,,2,2,,,7,,9,2
36432416,1,2,,37,27612,1952,1,1,__NA__,3,,,,1,81,3,1
36433259,1,1,,27,55117,1956,2,1,,2,1,1,,1,54,6,1
36433424,3,,,48,76537,1984,2,1,__NA__,2,,,,,,,
36434279,3,,,16,83605,1949,1,1,,2,2,,,5,,8,1
36434894,3,,,16,83406,1962,2,1,,4,2,,,2,62,1,1
36434942,1,1,,6,91201,1981,2,3,,5,2,,,4,,11,1
36435230,1,1,,24,20744,1958,2,1,,5,2,,,2,51,1,1
36435422,3,,,46,57216,1943,2,1,,2,2,,,7,,9,2
36436133,3,,,40,73107,1967,2,1,,3,1,3,1,,,6,3
36436211,4,,,16,83847,1945,2,1,,2,2,,,6,,8,
36436760,2,,1,13,30214,1957,2,1,,2,2,,,1,44,6,2
36436775,2,,1,42,19540,1965,2,1,,2,2,,,2,42,6,2
36437828,3,,,6,94611,1958,1,3,,6,2,,,1,61,1,1
36439304,2,,4,12,34479,1949,2,1,,2,2,,,1,31,6,2
36439436,3,,,35,88310,1943,2,1,,3,2,,,5,,8,1
36439520,2,,2,39,43142,1944,1,1,,2,2,2,,5,,8,1
36440048,3,,,49,84074,1973,2,1,,2,1,3,,7,,9,2
36441113,1,4,,39,44143,1935,1,1,,2,2,,,5,,8,2
36441353,2,,3,26,49601,1945,2,1,,2,2,,,5,,8,6
36441683,1,2,,18,46394,1948,1,1,,2,2,,,1,31,1,2
36442706,1,2,,36,14612,1972,2,2,,6,2,,,2,54,1,1
36443138,2,,1,34,8755,1943,2,1,,2,2,,,5,,6,2
36443903,2,,3,46,57735,1965,2,1,,2,2,,,7,,9,2
36444011,2,,1,5,71913,1927,1,1,,1,2,,,5,,8,2
36444416,3,,,54,26104,1951,2,1,,3,2,,,5,,8,
36444719,3,,,35,87124,1949,1,1,,6,2,,,3,62,5,2
36444830,2,,1,18,47432,1959,2,1,,2,1,1,,6,,9,2
36445799,1,1,,9,6610,1957,2,1,,1,2,,,1,81,12,1
36445928,2,,1,17,49420,1958,2,1,,2,1,1,,7,,9,2
36446429,3,,,44,2865,1957,1,1,,4,2,,,1,48,1,3
36446870,2,,1,39,45882,1953,2,1,,2,2,,,6,,12,2
36447158,2,,3,24,20841,1974,2,1,,6,1,2,,1,61,1,1
36448034,3,,,46,57054,1964,2,1,,5,2,,,2,11,1,1
36448268,1,1,,39,45885,1953,2,1,,2,1,1,,1,31,12,1
36448649,2,,1,36,14719,1923,1,1,,1,2,,,5,,8,2
36448841,3,,,36,10471,1948,2,3,,5,2,,,2,62,1,6
36448850,3,,,22,70119,1958,1,,,3,1,1,,1,92,1,1
36448991,2,,3,48,78363,1966,2,1,,3,2,,,7,,9,2
36449150,1,4,,37,28173,1962,2,1,,2,1,1,,1,81,4,2
36449210,3,,,56,82633,1937,2,1,,2,2,,,5,,8,1
36449279,1,2,,47,37748,1943,2,1,,2,2,,,5,,8,1
36449543,1,1,,42,19143,1972,2,2,,3,1,2,,2,81,6,1
36450110,2,,5,46,57201,1965,2,1,,3,2,,,8,,12,2
36450491,3,,,12,34601,1956,2,1,,2,2,,,1,92,12,2
36450653,3,,,5,71730,1945,1,2,,5,2,,,5,,8,1
36451241,2,,3,48,79928,1962,2,1,,5,2,,,4,,1,2
36451859,1,2,,26,48342,1946,2,2,,2,2,,,5,,9,1
36452120,1,1,,48,77479,1962,2,2,,5,2,,,6,,11,1
36452909,1,2,,12,33606,1974,2,1,,3,1,1,1,,,12,1
36453125,3,,,42,17350,1949,2,1,,6,2,,,2,81,1,2
36453695,4,,,26,49085,1959,2,1,,2,2,,,2,81,12,6
36454748,1,4,,6,94806,1962,2,2,,3,1,1,3,,,10,1
36455153,1,1,,6,90222,1958,2,2,,4,2,,,2,61,12,1
36455453,4,,,42,15701,1959,2,1,,2,2,,,6,,12,2
36455627,1,2,,2,99801,1982,2,1,,6,2,,,1,62,1,1
36456482,1,1,,12,32174,1948,2,1,,2,2,,,3,71,5,1
36456542,4,,,19,52635,1952,2,1,,6,2,,,6,,11,6
36458258,3,,,45,29731,1957,2,2,,3,2,,,1,42,6,1
36458786,3,,,36,14424,1964,1,1,,2,2,,,1,23,5,2
36459857,1,1,,37,28352,1957,2,2,,2,2,,,5,,,1
36461651,1,1,,24,21150,1963,2,1,,5,1,2,,1,62,1,1
36461720,3,,,15,96818,1970,1,4,,5,2,,,1,92,6,2
36462686,2,,3,48,78028,1974,2,3,,4,1,2,,3,44,4,
36463295,1,1,,55,54961,1975,2,1,,5,,,,7,,9,1
36463487,1,1,,42,19038,1964,1,2,,2,1,1,,1,23,12,1
36463589,1,2,,12,32771,1962,2,1,,3,2,,,3,54,1,1
36464147,3,,,20,67756,1949,2,1,,4,2,,,5,,6,2
36464369,4,,,22,71270,1955,1,1,,2,2,,,1,61,6,2
36464396,1,1,,48,75150,1966,2,2,,3,2,,,1,72,4,1
36464483,4,,,25,2184,1938,2,4,,2,2,,,5,,6,1
36464888,2,,4,33,3104,1957,2,1,,2,2,,,1,62,6,2
36465869,1,2,,36,11374,1988,2,6,,5,2,,,1,51,6,1
36466757,2,,1,32,89502,1945,2,1,,5,2,,,5,,8,2
36467003,3,,,23,4988,1938,2,1,,2,2,,,5,,8,2
36467543,1,2,,6,94595,1957,2,1,,5,1,2,,6,,,1
36468032,3,,,23,4671,1957,2,1,,2,2,,,7,,9,2
36468731,1,2,,34,7103,1965,2,2,,2,1,1,,7,,9,1
36468875,1,1,,36,13324,1955,2,1,,2,2,,,7,,9,1
36469817,2,,1,39,45692,1970,2,1,,2,2,,,6,,11,2
36469850,3,,,36,13613,1955,2,1,,2,2,,,7,,9,2
36470438,2,,1,54,26651,1964,1,1,,4,1,2,,1,44,3,2
36470867,2,,3,42,15522,1953,2,1,,2,2,,,5,,8,2
36471029,1,1,,48,75420,1973,1,1,,2,2,,,3,81,12,
36472442,1,1,,36,11742,1957,1,1,,2,2,,,1,51,12,1
36472634,1,2,,50,5478,1957,2,1,,5,2,,,4,,3,1
36473249,1,1,,53,99179,1971,2,1,,5,1,3,,2,81,6,1
36473342,1,1,,21,42256,1939,1,1,,1,2,,,5,,8,1
36473387,2,,3,42,15101,1942,2,1,,2,2,,,5,,8,2
36475262,3,,,36,14228,1960,2,1,,2,2,,,2,44,12,6
36475460,3,,,12,33543,1970,1,3,,3,2,,,1,52,3,1
36476459,2,,1,12,33907,1956,1,1,,2,1,2,,4,,11,2
36476924,3,,,8,80015,1959,1,1,,2,1,3,,1,71,3,2
36477419,1,1,,48,75233,1948,2,2,,3,2,,,5,,8,1
36478124,3,,,20,66619,1954,1,1,,5,2,,,4,,11,1
36478526,3,,,26,49938,1937,2,1,,2,2,,,5,,8,1
36479651,3,,,39,43045,1988,2,1,,6,2,,,1,61,1,2
36479801,1,1,,42,18201,1969,1,1,,2,1,2,,6,,9,1
36480128,3,,,48,78063,1968,2,1,,2,1,1,,7,,9,2
36481055,1,1,,6,94110,1965,2,3,,3,2,,,1,81,12,1
36481415,1,1,,21,42256,1942,2,1,,2,2,,,7,,9,1
36482354,3,,,27,56479,1972,2,1,,3,1,2,,4,,11,2
36482636,2,,1,34,7430,1947,1,1,,2,2,,,5,,12,2
36483320,3,,,53,98264,1967,2,1,,2,1,1,,6,,11,1
36483758,1,2,,8,80004,1966,2,2,,5,2,,,1,54,1,1
36484013,3,,,39,44827,1947,2,1,,1,2,,,5,,8,2
36484343,2,,1,18,47129,1943,2,1,,2,2,,,5,,,2
36486146,3,,,12,33596,1971,2,1,,2,1,1,,1,62,6,2
36486296,1,1,,12,32352,1957,1,2,,3,2,,,3,52,2,1
36486584,2,,1,42,18610,1936,1,1,,2,2,,,5,,8,2
36487181,2,,2,39,44260,1941,1,1,,2,2,,,5,,8,2
36488318,3,,,36,13901,1962,2,1,,2,2,,,1,44,4,1
36488378,2,,3,48,78013,1938,2,1,,2,2,,,3,81,5,2
36489251,3,,,19,51301,1953,2,1,,2,2,,,7,,9,2
36489647,2,,2,26,48223,1960,1,2,,5,2,,,1,31,6,2
36490502,1,1,,4,85936,1943,2,1,,2,2,,,5,,8,1
36490730,3,,,19,51106,1960,2,1,,2,1,1,,2,81,12,2
36491402,1,1,,54,25443,1956,1,1,,6,2,,,2,54,1,1
36491729,2,,2,39,44906,1941,2,1,,2,2,,,5,,8,2
36492134,2,,1,27,55350,1976,1,1,,4,2,,,1,31,1,2
36494069,2,,1,49,84098,1965,2,1,,5,2,,,1,92,6,2
