case_identifier,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,educ_baseline,presvote16post_2016
33600569,34,7740,1957,1,1,4,6
33602015,19,50613,1983,1,1,2,1
33602381,48,78621,1954,1,1,4,2
33602594,18,47304,1957,1,1,2,2
33603983,4,85726,1984,2,3,6,1
33605630,42,15212,1956,1,1,2,2
33606152,11,20009,1961,1,1,6,3
33607412,48,79602,1963,1,1,4,2
33611483,21,40215,1934,1,1,2,
33612071,53,98409,1958,2,1,2,1
33612191,36,12803,1986,1,1,3,1
33612881,36,14226,1988,1,1,5,6
33615368,32,89108,1964,1,1,5,1
33616376,55,54130,1972,1,1,6,6
33616739,48,77964,1960,1,7,3,2
33621791,48,78520,1948,1,3,3,1
33622550,25,2474,1970,2,4,6,1
33622808,18,47918,1967,1,1,5,2
33623612,4,85012,1971,1,1,5,1
33626252,39,44278,1985,1,1,5,6
33626570,34,8882,1946,1,7,2,2
33629021,51,20124,1959,1,6,6,2
33630407,15,96734,1960,1,6,3,1
33630716,53,98626,1963,2,1,3,1
33631190,13,31032,1954,1,1,2,2
33632057,51,23061,1969,1,1,3,1
33633488,41,97355,1934,1,1,5,1
33633512,48,79761,1954,1,1,3,2
33633752,13,30815,1961,1,2,5,2
33634493,12,33158,1989,1,1,3,1
33634922,41,97402,1941,1,1,3,1
33635636,17,60613,1941,1,1,6,1
33636380,48,77036,1989,2,2,3,1
33638621,4,85083,1963,1,1,5,2
33639086,42,16686,1961,1,1,2,2
33640130,6,92677,1941,2,1,3,2
33640619,6,92007,1956,1,1,5,2
33640733,48,76116,1951,1,1,3,
33642458,51,23235,1928,1,1,2,2
33642821,12,32927,1974,2,1,4,1
33644666,25,2128,1985,1,1,5,1
33645062,6,95817,1943,1,1,3,2
33645827,24,21144,1966,2,1,2,1
33647756,42,17050,1977,1,1,6,2
33648623,41,97239,1933,1,1,5,1
33650138,53,98329,1946,2,1,1,1
33651659,42,19382,1957,1,1,3,2
33655187,17,60102,1967,1,1,5,3
33655976,34,8884,1958,1,1,6,1
33656918,25,2118,1963,1,7,2,2
33661322,51,22551,1968,1,7,6,2
33662162,26,48317,1968,2,1,4,1
33663440,6,95453,1957,1,1,5,3
33665648,6,90245,1960,2,1,2,1
33666704,24,21230,1956,1,1,5,1
33667781,37,28078,1978,2,1,4,1
33670172,13,31088,1944,2,1,2,2
33671228,26,48910,1935,2,1,2,2
33672302,12,33309,1959,1,1,4,1
33673355,47,37922,1956,2,1,4,1
33674345,46,57301,1965,2,1,4,1
33677273,6,92691,1959,1,1,5,1
33678446,51,23851,1976,2,6,5,1
33678917,17,61738,1963,1,1,3,1
33678989,6,92065,1949,2,7,6,1
33683681,55,54612,1960,2,1,4,1
33684158,55,54115,1966,2,1,4,1
33688415,26,48708,1956,1,1,3,1
33688928,6,90814,1973,1,2,3,1
33692222,8,80108,1962,1,1,6,2
33693305,12,32091,1968,1,1,5,2
33695192,36,11949,1965,2,1,4,2
33697364,53,98115,1956,1,1,6,1
33698789,47,37087,1938,1,1,2,2
33699674,39,45377,1954,1,7,6,3
33700784,12,33178,1950,1,3,5,1
33702062,51,20120,1956,2,1,2,1
33704954,36,10036,1947,1,1,5,1
33706451,55,53098,1971,1,1,3,1
33706745,37,27606,1970,1,1,5,2
33706952,45,29445,1952,2,1,5,1
33709706,18,46217,1968,2,1,2,2
33710021,53,98104,1967,1,1,6,4
33713321,17,60062,1965,1,1,6,1
33714269,6,95837,1934,1,1,6,1
33714530,26,49098,1938,2,1,2,1
33714845,12,34668,1958,1,1,5,1
33717626,27,55024,1976,2,1,2,2
33720530,5,72127,1962,1,1,4,1
33721085,26,48135,1953,1,1,5,2
33721106,24,21791,1956,2,1,3,1
33721253,37,28694,1946,1,1,3,2
33722300,26,48225,1950,1,1,3,1
33722306,6,90404,1955,1,3,3,1
33724097,39,43055,1971,2,1,5,6
33724310,12,34432,1946,1,1,5,2
33725246,42,19362,1953,2,1,3,2
33725663,17,60031,1952,2,1,5,2
33727103,39,44125,1970,2,3,5,1
33727433,30,59803,1953,1,1,2,2
33728534,39,44105,1928,2,2,2,1
33729410,6,91364,1971,1,1,6,2
33729551,51,22304,1969,1,1,6,3
33732107,48,75686,1938,1,1,1,7
33734072,6,92886,1936,2,1,2,1
33740750,5,72903,1952,1,1,5,2
33742643,51,22003,1960,1,1,4,1
33742979,6,94131,1979,2,1,6,1
33743309,17,60002,1967,1,1,2,1
33744122,17,60402,1951,2,1,2,1
33745442,8,80205,1965,1,1,6,1
33745730,45,29016,1947,2,1,6,3
33745760,4,85711,1937,1,1,5,2
33749858,17,60540,1948,1,1,6,1
33751379,42,19067,1961,2,1,3,1
33757124,24,20747,1968,1,2,5,1
33757421,12,32309,1991,2,2,3,1
33757820,54,25537,1979,2,1,6,2
33759260,55,53204,1959,1,1,3,
33760490,17,60411,1961,2,2,6,1
33760871,40,73160,1955,1,1,3,1
33762794,47,37075,1938,1,1,2,1
33764855,36,10956,1947,2,1,6,1
33766325,6,92867,1955,2,1,2,2
33767126,26,49946,1976,2,1,5,1
33767414,34,7748,1962,2,1,6,1
33769838,26,48625,1964,1,1,2,2
33770609,48,78745,1970,1,1,5,1
33774005,17,60447,1953,1,1,3,1
33774230,37,28023,1959,1,1,2,2
33774434,47,37615,1950,1,1,6,1
33779504,4,85015,1976,1,1,5,1
33781532,29,64738,1954,2,1,3,2
33782381,48,77584,1952,2,1,4,2
33782483,25,1845,1977,1,1,6,1
33783395,53,98625,1960,2,1,3,2
33787259,18,46373,1933,1,1,2,1
33788057,12,33435,1989,2,3,5,1
33788378,6,92646,1937,1,1,6,2
33789158,18,47203,1975,1,1,5,1
33792194,6,91436,1943,1,1,6,2
33795182,55,53186,1946,1,1,2,
33797636,6,95409,1954,1,1,3,2
33799526,6,90255,1947,1,3,5,1
33800312,6,95864,1940,1,1,6,2
33800447,41,97123,1936,1,1,2,2
33804083,8,80222,1965,2,1,4,1
33805844,32,89521,1958,1,1,6,1
33808268,6,91104,1962,2,1,6,1
33810758,21,41012,1964,1,1,6,1
33814577,6,95012,1938,2,1,3,1
33814736,27,55803,1990,1,1,3,2
33815468,17,60465,1954,1,1,3,2
33816815,12,34436,1982,1,1,6,
33820160,6,93291,1944,1,1,4,1
33820190,6,94612,1933,2,6,2,1
33820559,26,49668,1956,1,1,1,1
33823349,26,48116,1955,1,1,3,1
33825041,19,50061,1964,2,1,3,2
33825335,25,1581,1963,1,1,5,1
33825512,37,28273,1978,1,1,5,1
33825668,49,84770,1958,2,1,4,5
33827474,36,10901,1966,2,2,6,2
33828398,13,30214,1948,2,1,3,2
33828704,48,79411,1953,1,2,3,1
33836033,48,76443,1960,1,1,5,2
33836069,42,15146,1959,1,1,5,2
33842939,25,1225,1965,1,1,5,2
33843050,48,78415,1987,2,1,5,1
33845222,42,18960,1965,1,1,5,1
33845642,18,46544,1948,1,1,6,3
33846146,42,17356,1966,1,1,5,2
33849332,12,34683,1930,1,1,3,2
33852776,6,94555,1948,1,1,2,2
33855836,26,48092,1966,1,1,6,2
33856658,8,80238,1963,2,1,4,1
33858053,37,27049,1962,1,1,3,1
33858527,25,2474,1986,2,1,5,1
33860549,47,37857,1933,1,1,1,2
33861401,37,27803,1953,2,2,2,1
33869036,51,23322,1957,1,3,5,2
33869888,17,60611,1982,1,1,6,1
33872732,42,18964,1951,1,1,4,2
33873968,48,76028,1942,1,1,2,1
33874385,42,17601,1939,1,1,2,2
33875321,13,30165,1958,1,7,4,2
33876413,36,11758,1985,1,1,5,3
33877103,16,83646,1971,1,1,4,5
33878480,48,78229,1989,1,1,3,1
33880010,42,15214,1962,1,1,3,2
33880382,42,17113,1952,2,1,3,1
33881033,48,77006,1980,1,1,5,2
33881747,26,48178,1975,2,1,5,2
33881864,51,20109,1951,2,2,2,1
33882047,32,89131,1968,1,1,3,1
33882092,12,33071,1957,1,1,5,2
33884972,48,75089,1952,2,3,3,2
33890024,25,1826,1948,1,1,2,2
33894635,48,75801,1946,2,1,2,2
33899687,32,89460,1953,2,1,6,1
33901880,6,95648,1946,1,1,5,2
33902576,48,75216,1959,2,2,5,1
33903914,36,12309,1979,2,2,5,1
33905255,4,85086,1959,2,3,6,1
33912179,6,94513,1967,2,1,3,2
33913550,6,94513,1959,1,3,2,1
33919436,12,33146,1952,2,4,6,1
33933506,55,53207,1959,2,1,5,1
33945056,51,20169,1960,2,3,4,2
33950750,6,95045,1961,1,6,2,2
33956648,6,91401,1970,1,1,6,1
33958166,34,7840,1962,1,7,3,2
33959231,32,89408,1963,2,1,2,2
33960047,42,19446,1956,1,1,6,1
33960290,37,27540,1942,1,1,2,1
33961688,17,61458,1948,1,1,5,2
33962696,45,29687,1945,1,7,2,1
33965129,4,85308,1953,2,1,3,1
33968276,39,44070,1947,1,1,2,1
33968387,39,44721,1954,2,1,6,1
33969290,17,61008,1946,2,1,2,1
33976748,21,42039,1969,1,1,3,2
33979235,13,30506,1958,1,1,5,2
33990032,42,17022,1950,1,1,4,2
34003544,35,87108,1957,2,3,3,
34013897,42,15202,1963,1,1,2,1
34022792,6,93314,1983,1,1,5,3
34023848,34,8536,1968,1,1,3,2
34026464,53,98032,1986,2,7,3,2
34040306,4,85755,1962,1,1,3,2
34044128,33,3261,1954,2,6,3,1
34066358,48,75401,1959,1,1,2,7
34067918,4,85715,1950,1,1,6,2
34068632,17,61485,1942,1,1,2,1
34073183,6,92154,1936,2,3,6,2
34078067,34,8520,1954,2,1,5,1
34080749,53,99216,1948,2,1,2,3
34082366,6,92126,1968,1,1,5,6
34083245,39,44116,1960,2,1,5,4
34085435,24,21921,1948,1,1,2,2
34086716,28,39507,1964,1,1,4,2
34087457,4,85022,1929,1,1,4,6
34089191,6,94127,1949,1,4,5,1
34091219,53,98498,1948,2,1,3,1
34092152,4,85718,1937,2,1,5,1
34092167,48,75474,1932,1,1,3,
34095149,16,83835,1939,2,1,2,2
34097537,53,98584,1960,1,1,4,4
34099691,6,92593,1951,2,1,4,2
34101872,53,99336,1961,1,1,6,1
34103801,40,74021,1957,2,1,3,2
34104575,26,48034,1954,1,1,5,2
34104716,48,75115,1971,1,2,5,1
34108961,36,14626,1936,2,1,6,1
34109207,36,10707,1954,2,1,6,1
34109807,6,95422,1935,1,1,3,1
34110296,6,92081,1970,2,1,5,1
34111886,36,11706,1964,2,1,6,1
34113431,37,27539,1954,2,7,5,1
34114043,26,49053,1948,1,1,2,1
34114541,41,97103,1953,1,1,4,2
34116053,12,32301,1943,2,1,5,2
34117283,40,73507,1960,1,1,5,1
34122278,13,30294,1971,2,2,3,1
34126595,48,75023,1964,2,1,3,1
34127066,41,97123,1941,1,1,2,1
34127141,20,67209,1971,2,2,5,1
34127429,53,99354,1986,2,1,5,6
34128965,17,62449,1975,1,1,2,2
34129883,34,8846,1960,2,1,5,1
34130945,25,1450,1962,1,1,5,1
34132754,6,95747,1946,2,1,3,2
34143329,24,21227,1960,2,1,3,2
34148786,41,97404,1937,2,1,2,1
34154294,35,87401,1956,2,1,3,2
34157228,23,4254,1949,1,1,4,1
34159247,29,64151,1944,1,1,5,2
34159574,26,48225,1981,1,1,6,1
34164017,13,31024,1938,1,1,4,1
34164116,17,60466,1938,2,1,3,1
34164311,26,48169,1952,2,1,6,1
34166597,6,93021,1940,2,1,2,1
34167647,4,85730,1951,1,1,2,4
34169258,6,92652,1934,2,1,5,1
34170872,34,7652,1953,1,1,3,2
34171607,6,94702,1973,2,1,5,1
34173392,36,14620,1964,2,1,6,1
34174730,6,93403,1953,1,1,5,1
34176710,17,60640,1933,2,1,5,1
34184666,48,78503,1947,2,6,3,1
34185815,26,49783,1984,2,1,5,2
34188632,29,65536,1963,1,1,2,1
34197128,29,64113,1939,1,1,5,1
34214957,42,18103,1957,1,1,6,1
34215419,37,27043,1963,1,1,2,2
34217030,53,99037,1939,1,1,5,1
34219328,12,33773,1956,2,1,2,1
34220945,6,94618,1968,1,1,3,1
34225007,26,48009,1939,2,1,6,1
34230458,8,80228,1984,1,6,5,1
34233293,36,10010,1936,2,1,3,1
34235873,26,49412,1965,1,1,2,2
34236041,37,28562,1956,1,1,2,1
34238075,1,35210,1970,2,1,3,1
34241132,32,89002,1951,1,1,6,2
34251551,37,28147,1951,2,1,4,2
34255976,12,32725,1963,2,3,5,1
34265024,39,43015,1967,1,1,6,3
34289237,36,11379,1965,1,2,5,4
34307693,6,94122,1969,2,1,5,1
34309184,41,97317,1946,1,1,5,2
34310411,5,72450,1943,1,1,2,2
34320101,32,89506,1955,1,7,6,2
34326140,36,14221,1937,2,1,5,1
34327439,6,95355,1971,1,1,5,1
34364165,36,13421,1962,1,1,5,2
34369343,12,32216,1962,1,1,5,2
34370591,47,37863,1968,2,1,5,1
34371644,13,30066,1955,1,1,6,1
34372982,4,85022,1943,1,1,3,2
34419275,6,91764,1961,1,,4,2
34423985,24,20910,1955,2,1,6,2
34430270,34,8527,1983,1,1,3,
34444724,35,88310,1965,1,1,6,2
34444958,37,28669,1959,1,1,1,
34569830,48,76001,1967,2,1,6,3
34589342,47,37849,1947,1,1,2,1
34589555,25,2140,1985,1,1,6,2
34591292,42,16319,1973,1,1,5,2
34593173,38,58102,1950,2,1,2,2
34618010,6,95119,1976,1,1,5,1
34618679,4,85711,1960,1,1,3,2
34627157,53,99036,1977,2,1,5,7
34627388,6,93268,1956,2,1,3,
34642445,41,97219,1981,1,1,5,3
34646270,19,51503,1983,2,1,6,1
34647611,6,95018,1983,2,7,6,1
34648796,6,92677,1964,1,1,5,1
34733699,26,48221,1942,2,1,3,1
34738568,12,33983,1932,2,1,2,1
34755932,26,48105,1944,1,1,5,2
34759127,31,68154,1964,2,1,5,1
34768718,36,11937,1958,1,1,6,1
34769537,48,78619,1960,1,1,6,1
34769867,18,47150,1946,1,1,5,1
34773284,4,85019,1975,2,1,,2
34779641,45,29511,1960,1,1,1,7
34784369,6,95660,1948,1,1,3,2
34791773,6,93010,1963,1,1,4,2
34792130,41,97504,1957,1,1,6,1
34800950,34,8009,1969,2,1,2,1
34827824,21,40065,1964,2,1,6,1
34829900,12,34287,1966,2,1,6,1
34841237,41,97239,1931,1,1,2,2
34846070,37,27607,1966,1,1,6,2
34849913,36,11235,1948,2,1,2,1
34850291,6,95765,1954,1,1,3,2
34850507,48,75071,1948,2,1,6,1
34852097,22,70665,1937,1,1,2,1
34854245,12,33511,1968,1,1,3,1
34869224,6,92116,1967,2,1,5,1
34872815,20,66030,1964,1,1,5,4
34873910,26,48025,1959,1,1,6,2
34878503,8,80138,1947,1,1,6,1
34881128,26,48033,1949,1,1,6,2
34881320,6,93212,1975,1,2,6,2
34894634,6,95494,1943,1,1,5,1
34895741,12,33860,1933,1,1,2,2
34902812,16,83607,1967,2,1,4,1
34905833,8,80301,1953,1,1,3,1
34908395,39,44882,1989,2,1,4,1
34926884,12,33165,1946,1,3,2,2
34926887,8,80004,1973,2,3,4,1
34934411,41,97123,1963,2,1,5,1
34937006,42,15690,1961,2,1,5,1
34938773,4,85282,1954,2,1,4,2
34940402,6,95492,1969,2,1,5,1
34943474,25,2155,1984,2,1,5,1
34944056,42,15144,1951,1,1,2,2
34950506,37,28544,1970,1,7,3,2
34952081,28,39503,1962,1,1,5,2
34955078,1,36535,1976,1,1,3,3
34955963,26,48809,1959,1,1,2,1
34965122,12,33082,1968,1,6,5,2
34970000,53,98117,1980,1,1,5,1
34974617,32,89436,1974,1,7,3,2
34978772,39,44118,1939,2,1,3,1
34985519,53,98004,1965,2,1,3,2
34986740,39,44142,1952,1,1,2,2
34993793,36,12203,1946,1,1,6,1
35002505,13,30233,1949,1,1,2,2
35004683,42,16504,1968,1,1,3,1
35006933,39,44133,1945,1,7,3,2
35012111,5,72687,1939,1,1,5,2
35036366,24,20755,1972,1,1,3,2
35037080,12,33707,1940,1,1,2,2
35039048,53,98382,1941,1,1,3,2
35052497,5,72472,1985,2,1,3,
35064143,49,84020,1951,1,1,5,2
35071676,16,83501,1929,1,1,3,1
35075282,42,15068,1950,1,1,3,1
35081351,6,90720,1962,1,1,5,2
35085050,6,90034,1966,2,1,6,1
35087636,53,98032,1957,2,1,3,1
35088755,6,94801,1958,1,1,1,1
35096867,12,32905,1954,1,1,2,1
35097362,50,5033,1952,2,1,5,1
35102597,32,89451,1945,1,1,5,2
35104334,39,43231,1968,2,1,3,2
35109884,6,92284,1978,2,1,4,1
35116889,4,86442,1933,1,1,1,2
35122343,51,20190,1981,1,1,5,2
35138759,6,92253,1949,1,1,5,1
35143655,48,77004,1950,1,2,5,1
35148494,29,63104,1965,2,1,5,1
35152622,27,55057,1965,1,1,5,3
35152700,6,95423,1966,1,1,3,1
35154734,36,13833,1955,2,1,5,1
35156006,42,16748,1954,1,1,5,1
35156474,55,54724,1984,2,1,3,2
35167010,42,17363,1968,1,1,5,2
35167853,28,39562,1955,1,1,5,2
35179595,26,48371,1948,1,1,3,1
35188880,48,78023,1951,1,3,6,1
35190443,21,42303,1949,1,1,3,2
35196938,39,45219,1964,1,1,5,1
35204483,49,84108,1958,1,1,3,1
35208224,36,11215,1955,1,1,6,1
35209586,2,99654,1990,2,1,3,1
35210276,17,60656,1960,2,1,4,1
35211428,26,48138,1934,1,1,6,1
35213798,53,98502,1947,2,1,5,1
35217332,45,29102,1948,1,2,2,1
35217431,36,14623,1947,1,1,6,1
35219120,21,40223,1943,1,1,2,2
35224337,37,28352,1949,1,1,5,1
35226317,53,98548,1938,2,1,3,
35232977,24,21201,1958,1,1,5,1
35233061,12,34759,1954,1,1,6,2
35233550,13,30296,1951,1,2,5,1
35234972,48,79924,1957,1,3,4,1
35236535,37,27545,1962,2,1,5,1
35239388,6,94303,1947,2,6,3,1
35239703,6,93636,1967,2,1,3,1
35241545,42,16142,1983,1,6,5,4
35242034,6,92150,1960,1,1,6,1
35242847,34,7660,1955,1,1,6,1
35243291,5,72116,1946,1,1,3,1
35243615,4,85022,1933,2,1,3,1
35249525,17,60016,1957,1,1,4,2
35259071,20,66207,1944,2,1,6,1
35263865,12,32501,1935,2,1,6,1
35264291,36,12054,1979,1,1,6,1
35264306,12,32225,1960,2,1,3,1
35264318,6,94043,1964,1,1,5,1
35266643,6,92234,1947,1,1,6,1
35267135,6,91351,1951,1,1,3,1
35270069,27,55105,1940,2,1,5,1
35270942,1,36511,1949,2,1,5,2
35272223,30,59870,1946,1,1,6,1
35274293,6,92688,1964,2,1,6,1
35274821,17,60148,1953,1,1,4,2
35277731,27,56073,1963,1,1,3,2
35281238,41,97411,1966,2,1,2,2
35281505,54,26201,1948,1,1,6,2
35284856,54,26501,1948,1,1,3,1
35286497,55,53562,1983,2,1,5,1
35295647,46,57006,1968,2,1,5,1
35305439,51,22191,1960,2,1,4,1
35316896,17,60189,1959,2,1,6,1
35319539,48,75152,1963,1,1,5,2
35321165,4,85212,1953,1,3,3,2
35328560,54,24963,1958,2,1,2,4
35328884,6,92123,1951,1,2,4,2
35330321,12,33760,1945,2,1,6,1
35331422,44,50312,1945,1,2,5,1
35331926,36,14845,1942,2,1,6,1
35334404,13,30317,1948,2,1,6,2
35335343,34,8332,1947,1,1,5,2
35337053,6,95620,1940,1,1,6,2
35344352,26,49931,1948,2,1,5,1
35345324,36,12518,1968,1,1,5,1
35345459,48,78028,1950,1,1,5,2
35347277,8,80128,1942,1,1,3,2
35352413,13,30096,1948,1,1,4,1
35353808,6,94612,1982,1,4,5,1
35353910,13,30067,1968,1,1,5,3
35357981,29,65747,1958,1,1,3,2
35377223,24,20736,1954,1,1,6,2
35381294,12,32962,1931,2,1,2,2
35382752,41,97035,1954,2,1,3,1
35383316,48,63303,1957,1,1,6,
35383367,6,93730,1943,1,1,5,2
35384270,51,24210,1948,2,1,3,1
35384873,12,34476,1940,1,1,2,1
35385512,12,33162,1931,1,1,1,2
35386394,4,85635,1975,1,1,5,2
35386661,53,98466,1965,1,7,4,2
35387270,12,32909,1983,2,1,2,2
35405162,34,7410,1972,2,1,6,1
35411171,16,83543,1954,1,1,3,2
35429972,39,44333,1961,2,1,6,1
35437805,18,46012,1953,1,1,3,1
35459156,21,40291,1945,2,1,6,2
35476346,42,15220,1976,1,1,3,1
35476370,39,44685,1964,1,1,3,2
35487071,13,30607,1954,1,1,1,2
35520332,37,27282,1966,1,1,5,2
35544086,29,63090,1957,1,1,2,1
35547881,47,37330,1942,1,1,6,2
35575643,6,93531,1950,2,3,6,1
35610071,29,64831,1957,1,1,1,2
35642693,47,37066,1932,2,1,3,2
35646098,48,75904,1956,2,1,4,
35648582,17,61820,1972,1,1,5,2
35649449,36,10012,1965,1,1,5,1
35659550,4,85023,1950,1,1,2,2
35665898,19,52057,1960,1,1,2,2
35666387,13,30338,1956,1,1,2,1
35666531,35,87106,1973,1,3,4,2
35670755,12,33498,1946,2,1,6,1
35702906,51,22407,1970,1,,5,2
35703899,6,95051,1937,1,1,6,1
35725178,25,2720,1969,1,1,2,1
35753063,25,2184,1963,1,1,5,1
35755769,42,19103,1963,1,1,6,2
35787110,55,54501,1970,1,3,2,3
35834339,36,14826,1942,1,1,2,4
35850218,25,2148,1954,2,1,5,1
35868356,36,13323,1990,2,1,3,1
35885039,51,20148,1977,2,2,4,1
35885273,51,20137,1957,2,2,6,1
35907002,12,33785,1972,2,1,4,1
35914550,47,38357,1945,2,1,5,2
35921117,20,67220,1948,2,1,5,6
35930465,11,20019,1943,2,2,3,1
35937290,4,86409,1955,2,1,3,2
35941055,6,92335,1947,2,7,2,2
35949758,12,33426,1946,1,1,2,2
35963261,48,75901,1944,2,1,2,2
36009737,6,95020,1954,1,1,3,1
36014588,6,95823,1955,1,2,5,1
36034901,13,31907,1964,2,2,3,1
36034916,13,30078,1954,2,2,3,1
36036206,42,15120,1955,2,1,3,1
36055727,20,67045,1979,2,1,2,3
36056621,42,15905,1957,1,1,3,1
36069833,29,65619,1940,2,1,5,1
36080588,48,75068,1972,1,2,5,1
36097664,17,60304,1942,1,1,5,1
36098867,48,78613,1960,1,1,6,2
36129047,21,40207,1991,1,1,3,2
36146504,6,95006,1954,2,1,3,1
36160979,29,63114,1957,2,1,5,1
36161615,17,60056,1940,1,1,2,2
36166847,29,64050,1964,1,6,3,1
36172832,8,80134,1956,1,1,5,1
36173828,20,66604,1940,2,1,6,2
36196076,17,61115,1953,1,1,3,1
36199574,29,63301,1955,1,1,5,2
36241895,51,20147,1969,1,1,5,3
36247484,18,47401,1943,1,1,2,1
36249275,12,33309,1942,1,1,5,1
36285707,48,79762,1968,1,1,5,1
36286784,19,50263,1966,2,1,5,
36295043,48,77088,1938,2,1,4,1
36302312,18,46368,1949,2,1,5,1
36308498,51,22201,1988,2,1,6,1
36314504,17,60053,1936,2,1,2,1
36318695,39,44270,1954,2,1,2,1
36328994,37,28166,1948,1,1,3,2
36345209,12,33991,1943,2,1,3,1
36363446,56,82001,1973,2,1,3,1
36389609,1,35213,1941,1,1,6,1
36399491,51,22032,1955,1,6,6,3
36407837,24,20895,1967,1,1,6,6
36414305,24,21017,1963,2,1,5,1
36414890,42,15201,1942,1,1,2,1
36415655,40,73507,1956,2,1,2,
36416318,56,83001,1940,2,1,6,3
36416720,9,6114,1977,2,3,6,4
36417818,12,32822,1948,2,1,2,1
36417950,36,14067,1953,2,1,2,2
36420023,44,2864,1964,2,1,4,2
36420098,53,98367,1948,2,1,2,1
36420833,47,37215,1953,2,1,2,1
36421532,32,89107,1940,2,7,3,1
36421781,39,45231,1965,2,1,2,3
36422171,54,25526,1938,1,1,5,1
36422849,54,25702,1964,2,1,2,2
36422924,16,83835,1965,2,1,5,5
36422954,46,57783,1930,2,1,3,2
36423239,4,85051,1963,2,3,6,2
36423383,24,20904,1955,2,1,5,2
36424064,42,18354,1942,1,1,2,2
36424478,29,63072,1944,2,1,2,2
36426074,16,83616,1970,2,1,3,4
36426161,54,24740,1955,2,1,5,
36427103,6,94945,1953,2,2,3,1
36427181,54,25303,1974,2,1,5,1
36427880,20,66086,1953,1,1,6,2
36428408,21,42718,1957,2,1,2,2
36429503,49,84003,1971,2,1,4,3
36429545,48,78626,1957,1,3,5,1
36429734,45,29607,1958,2,1,4,2
36429776,19,52003,1974,2,1,1,1
36431573,18,46322,1950,2,1,3,2
36432257,42,15146,1950,2,1,2,2
36432416,37,27612,1952,1,1,3,1
36433259,27,55117,1956,2,1,2,1
36433424,48,76537,1984,2,1,2,
36434279,16,83605,1949,1,1,2,1
36434894,16,83406,1962,2,1,4,1
36434942,6,91201,1981,2,3,5,1
36435230,24,20744,1958,2,1,5,1
36435422,46,57216,1943,2,1,2,2
36436133,40,73107,1967,2,1,3,3
36436211,16,83847,1945,2,1,2,
36436760,13,30214,1957,2,1,2,2
36436775,42,19540,1965,2,1,2,2
36437828,6,94611,1958,1,3,6,1
36439304,12,34479,1949,2,1,2,2
36439436,35,88310,1943,2,1,3,1
36439520,39,43142,1944,1,1,2,1
36440048,49,84074,1973,2,1,2,2
36441113,39,44143,1935,1,1,2,2
36441353,26,49601,1945,2,1,2,6
36441683,18,46394,1948,1,1,2,2
36442706,36,14612,1972,2,2,6,1
36443138,34,8755,1943,2,1,2,2
36443903,46,57735,1965,2,1,2,2
36444011,5,71913,1927,1,1,1,2
36444416,54,26104,1951,2,1,3,
36444719,35,87124,1949,1,1,6,2
36444830,18,47432,1959,2,1,2,2
36445799,9,6610,1957,2,1,1,1
36445928,17,49420,1958,2,1,2,2
36446429,44,2865,1957,1,1,4,3
36446870,39,45882,1953,2,1,2,2
36447158,24,20841,1974,2,1,6,1
36448034,46,57054,1964,2,1,5,1
36448268,39,45885,1953,2,1,2,1
36448649,36,14719,1923,1,1,1,2
36448841,36,10471,1948,2,3,5,6
36448850,22,70119,1958,1,,3,1
36448991,48,78363,1966,2,1,3,2
36449150,37,28173,1962,2,1,2,2
36449210,56,82633,1937,2,1,2,1
36449279,47,37748,1943,2,1,2,1
36449543,42,19143,1972,2,2,3,1
36450110,46,57201,1965,2,1,3,2
36450491,12,34601,1956,2,1,2,2
36450653,5,71730,1945,1,2,5,1
36451241,48,79928,1962,2,1,5,2
36451859,26,48342,1946,2,2,2,1
36452120,48,77479,1962,2,2,5,1
36452909,12,33606,1974,2,1,3,1
36453125,42,17350,1949,2,1,6,2
36453695,26,49085,1959,2,1,2,6
36454748,6,94806,1962,2,2,3,1
36455153,6,90222,1958,2,2,4,1
36455453,42,15701,1959,2,1,2,2
36455627,2,99801,1982,2,1,6,1
36456482,12,32174,1948,2,1,2,1
36456542,19,52635,1952,2,1,6,6
36458258,45,29731,1957,2,2,3,1
36458786,36,14424,1964,1,1,2,2
36459857,37,28352,1957,2,2,2,1
36461651,24,21150,1963,2,1,5,1
36461720,15,96818,1970,1,4,5,2
36462686,48,78028,1974,2,3,4,
36463295,55,54961,1975,2,1,5,1
36463487,42,19038,1964,1,2,2,1
36463589,12,32771,1962,2,1,3,1
36464147,20,67756,1949,2,1,4,2
36464369,22,71270,1955,1,1,2,2
36464396,48,75150,1966,2,2,3,1
36464483,25,2184,1938,2,4,2,1
36464888,33,3104,1957,2,1,2,2
36465869,36,11374,1988,2,6,5,1
36466757,32,89502,1945,2,1,5,2
36467003,23,4988,1938,2,1,2,2
36467543,6,94595,1957,2,1,5,1
36468032,23,4671,1957,2,1,2,2
36468731,34,7103,1965,2,2,2,1
36468875,36,13324,1955,2,1,2,1
36469817,39,45692,1970,2,1,2,2
36469850,36,13613,1955,2,1,2,2
36470438,54,26651,1964,1,1,4,2
36470867,42,15522,1953,2,1,2,2
36471029,48,75420,1973,1,1,2,
36472442,36,11742,1957,1,1,2,1
36472634,50,5478,1957,2,1,5,1
36473249,53,99179,1971,2,1,5,1
36473342,21,42256,1939,1,1,1,1
36473387,42,15101,1942,2,1,2,2
36475262,36,14228,1960,2,1,2,6
36475460,12,33543,1970,1,3,3,1
