case_identifier,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,educ_baseline,presvote16post_2016
6219236,4,86314,1940,2,1,3,1
6219497,20,66046,1981,1,1,5,1
6220028,26,48170,1981,1,1,5,2
6221858,39,43162,1944,1,1,2,1
6222932,12,33990,1961,2,1,4,2
6226313,17,60085,1954,2,3,3,1
6227495,40,73159,1966,1,1,3,3
6227969,12,32164,1962,1,1,3,2
6229142,18,47403,1962,1,1,6,1
6229352,20,66206,1982,1,1,6,2
6229544,13,30022,1962,1,1,5,2
6229913,12,33351,1955,2,1,3,3
6230198,55,53220,1979,1,1,2,2
6230408,17,60543,1952,1,1,4,2
6232193,8,80525,1965,2,1,6,1
6232631,12,32533,1967,1,1,4,2
6233612,39,43410,1976,2,3,4,1
6236744,35,87123,1958,1,1,5,1
6239744,13,31021,1947,1,1,6,1
6247142,21,40220,1956,1,1,5,2
6247949,37,28203,1990,1,1,3,1
6249251,49,84054,1948,1,1,2,1
6249485,27,56304,1966,1,1,3,2
6253385,39,45067,1978,1,1,5,6
6253928,16,83647,1964,1,1,3,2
6255209,34,7747,1977,2,1,5,1
6262622,36,12916,1970,1,1,4,1
6263354,39,43201,1969,1,1,6,1
6265466,37,27545,1971,1,1,4,2
6271040,48,78613,1965,1,1,5,3
6273704,48,76226,1938,1,1,3,2
6278276,42,15235,1950,1,1,6,
6279956,17,60649,1950,2,2,4,1
6280574,42,18031,1963,1,1,3,2
6281192,8,80021,1972,2,1,6,4
6282716,34,7002,1976,1,1,5,3
6282788,17,60611,1937,2,1,5,1
6285515,17,60545,1981,1,1,6,1
6285701,39,44103,1952,1,2,2,1
6287039,31,68701,1954,1,1,6,2
6288212,27,55117,1967,1,1,5,1
6288599,39,45322,1956,1,1,6,1
6291113,42,19067,1957,2,1,6,1
6291146,36,12477,1978,1,1,6,2
6291557,25,2118,1969,1,1,3,1
6291608,6,92104,1970,1,1,5,1
6293183,36,11102,1957,1,3,4,1
6293396,6,95820,1959,1,1,4,1
6294578,46,57730,1971,1,1,3,2
6299315,20,66047,1964,2,1,5,4
6304361,37,28277,1971,1,7,5,1
6305450,42,18080,1961,2,1,3,2
6308873,41,97030,1948,1,1,6,1
6309782,51,23832,1970,1,4,6,1
6309809,53,98052,1962,1,1,5,2
6310301,12,33410,1956,2,1,3,1
6314150,48,78665,1971,2,1,6,1
6316652,17,60154,1972,1,1,5,1
6316859,17,60302,1956,2,1,6,1
6319217,6,94022,1931,2,1,2,2
6319613,4,85374,1932,2,1,2,1
6319775,39,44149,1957,1,3,5,1
6320978,25,1420,1955,1,1,2,1
6322211,36,14506,1981,1,1,6,6
6322364,41,97401,1960,2,1,6,1
6322844,17,60465,1954,1,1,2,1
6322856,4,85747,1961,1,1,3,1
6323027,9,6770,1956,1,1,5,6
6325184,26,49525,1954,2,1,6,2
6325313,40,74743,1962,1,1,3,2
6325748,21,40356,1956,1,1,6,2
6326321,22,71457,1955,1,1,6,2
6327818,13,30263,1953,1,1,5,2
6331904,19,52531,1963,1,1,5,1
6333245,46,57769,1972,1,1,5,2
6334871,36,10469,1958,1,1,3,2
6338279,26,48108,1954,1,2,6,1
6338711,37,27302,1957,1,1,5,2
6339260,12,34235,1926,2,1,3,2
6339377,12,33771,1969,1,1,5,2
6342719,12,32514,1955,1,1,2,2
6345614,12,32967,1939,2,1,2,2
6346148,38,58078,1962,1,1,5,2
6348065,27,55444,1965,1,1,4,2
6348128,55,53095,1961,1,1,3,1
6359783,25,1810,1952,1,1,5,2
6360410,53,98115,1943,1,1,5,1
6362912,34,7470,1944,1,1,3,2
6367046,24,21228,1948,1,2,3,1
6369662,12,34683,1964,1,1,5,2
6370124,28,38655,1954,2,1,3,1
6370370,21,40962,1964,1,1,5,2
6371126,26,48223,1957,2,1,4,2
6372302,45,29576,1957,2,1,6,2
6372518,6,95223,1937,1,1,3,2
6372674,25,2367,1969,1,1,2,2
6376448,4,85028,1965,1,7,4,2
6376739,42,19541,1965,2,1,3,2
6377012,8,80230,1968,2,1,6,2
6377219,53,98626,1966,2,1,5,1
6381221,48,76310,1969,1,6,5,3
6381806,6,94538,1952,1,1,3,2
6382718,53,98038,1974,1,1,5,1
6382949,48,79925,1940,1,1,2,2
6383609,29,65109,1955,1,1,6,2
6384797,12,33445,1974,1,6,5,2
6385868,49,84044,1966,1,1,3,2
6386678,32,89509,1958,2,1,6,2
6389924,53,98042,1952,2,1,3,2
6391505,4,85023,1949,1,2,4,2
6392225,40,74012,1973,1,1,3,1
6393803,12,32134,1946,2,1,2,2
6395504,42,17315,1937,1,1,6,2
6396401,55,53098,1969,1,1,3,2
6400403,6,90211,1971,2,1,6,2
6400457,27,55420,1962,1,1,2,2
6400898,36,12822,1963,1,1,2,2
6401015,36,14228,1939,2,1,3,1
6401321,6,92570,1961,1,1,3,2
6405365,12,32765,1964,1,1,5,1
6406562,55,53719,1968,1,1,3,2
6406961,48,76018,1959,1,2,3,1
6409022,36,11702,1954,2,1,4,2
6410645,42,18976,1961,2,1,3,2
6411257,42,17111,1960,1,1,6,2
6413630,24,21117,1954,1,1,5,2
6414236,29,63026,1965,1,1,6,1
6416438,37,28173,1941,1,1,3,2
6418754,6,90505,1955,1,1,5,3
6419111,6,90066,1965,1,1,6,1
6419432,41,97333,1939,2,1,2,2
6420122,6,95624,1957,2,1,5,2
6420962,32,89119,1955,1,1,5,2
6421214,8,80104,1962,1,1,5,2
6428831,26,48837,1956,1,1,5,1
6429641,21,41015,1953,1,1,2,2
6429842,27,55055,1973,1,1,6,2
6430100,41,97386,1931,2,1,2,1
6431615,26,48334,1950,1,1,6,2
6432962,6,90241,1957,2,3,3,2
